particle_key,o2,o2_label,particle_label,feature,modality,mean,std,median,q25,q75,n_valid
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m2_r_entropy,Radial Track Structure,0.3328712502595903,0.09444857956828565,0.31463712176648595,0.27014664126859167,0.3958120788103663,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m2_r_kurtosis,Radial Track Structure,45.070544409211415,18.716165445275653,39.967101303055315,32.157777579818216,58.50533767461339,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m2_r_mean_um,Radial Track Structure,0.1425041447666942,0.02402408027451539,0.1407730507306347,0.12582094645578004,0.15499644525453665,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m2_r_skew,Radial Track Structure,6.2725908972246245,1.1816859207271624,6.001094567226335,5.560624246045383,7.081774836597106,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m2_r_std_um,Radial Track Structure,0.36171089126571565,0.08054589885061761,0.3597145344697501,0.3038429073445385,0.39695060465833637,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m2_ripley_K2D_0.5um,Radial Track Structure,61.3933879990193,1.7662928729628076,61.34143478147905,60.58350076076592,62.49916165053623,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m2_ripley_K2D_1.0um,Radial Track Structure,63.791997834723425,1.1569460528952435,63.74492204743887,63.114933281536786,64.4701475372701,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m2_z_std_um,Radial Track Structure,2.6736084647773146,0.13393045958408406,2.6750725079630318,2.5773295532447715,2.7519061085737526,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m3_dsb_energy_enrichment,Local Energy Heterogeneity,23.682264776893444,2.625886678343187,23.129415657614572,21.778870453067604,25.50738278713404,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m3_dsb_voxel_energy_mean_MeV,Local Energy Heterogeneity,0.1036282582893844,0.007801099239496647,0.10136264975361012,0.09804834255165523,0.10785356911009236,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m3_dsb_voxel_energy_std_MeV,Local Energy Heterogeneity,0.03607968219672604,0.008755868297704191,0.03412900067330288,0.030594857815992672,0.04125946302678464,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m3_energy_cv,Local Energy Heterogeneity,4.471154458981367,0.2263303766061693,4.461934495409622,4.325708557226087,4.632210949026348,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m3_energy_entropy,Local Energy Heterogeneity,0.25663978652746483,0.02020442542539139,0.2554225573212711,0.24497511716221035,0.2717831443888061,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m3_energy_gini,Local Energy Heterogeneity,0.9047887667901493,0.0032303172962919163,0.9044256475801913,0.9027458467730314,0.9068905475096304,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m3_energy_hot_spots,Local Energy Heterogeneity,175.88,15.814727313488525,184.0,180.0,184.0,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m3_energy_mean_MeV,Local Energy Heterogeneity,0.0044043543608859185,0.0003522511042252504,0.004410100867971778,0.004156109178438783,0.004602966015227139,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m3_energy_n_nonzero,Local Energy Heterogeneity,4928.56,429.5436722849028,4885.0,4659.25,5216.0,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m3_energy_std_MeV,Local Energy Heterogeneity,0.01963246177881956,0.0010300075351052061,0.019788162782788277,0.01881596026942134,0.02020156243816018,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m3_energy_top10pct_frac,Local Energy Heterogeneity,0.8978807473182678,0.0042235352791818205,0.8981143832206726,0.8944447189569473,0.9012258052825928,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m3_energy_top25pct_frac,Local Energy Heterogeneity,0.9502251625061036,0.0024757187042412712,0.950302928686142,0.9483536332845688,0.9522052705287933,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m3_energy_top5pct_frac,Local Energy Heterogeneity,0.8625225400924683,0.005093374909152928,0.8628991842269897,0.8585298955440521,0.8668081164360046,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m4_D10_Gy,Dose Distribution,13.032444305419922,0.8103908034815547,12.971189975738525,12.547679662704468,13.641276121139526,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m4_D50_Gy,Dose Distribution,1.8610529732704162,0.13864468158998763,1.8393239974975586,1.7860704362392426,1.93060702085495,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m4_D90_Gy,Dose Distribution,0.2447592332959175,0.015894274454537054,0.24502559006214142,0.23279960080981255,0.2559684067964554,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m4_dose_cv,Dose Distribution,4.470704908984106,0.2263461965658591,4.461369561592037,4.32502775172934,4.631852124413185,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m4_dose_entropy,Dose Distribution,0.2567002210285116,0.020082130319677878,0.25562853476455005,0.24452536230137503,0.27160618721207036,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m4_dose_mean_Gy,Dose Distribution,23.778545455932615,1.9013232675688863,23.80773639678955,22.439900398254395,24.857774257659912,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m4_dose_std_Gy,Dose Distribution,105.98261428833008,5.560657100953846,106.83451080322266,101.55900955200195,109.06537437438965,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m4_frac_above_mean,Dose Distribution,0.04884929720658476,0.0017978839630972624,0.04891052542460443,0.04742615783330366,0.04988069243986996,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m4_frac_above_mean_1sd,Dose Distribution,0.03731464608221806,0.003408208557421493,0.03725836273694657,0.03522373797835525,0.039297354759020284,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m4_frac_above_mean_2sd,Dose Distribution,0.0359583157818069,0.004571542252790715,0.036442872838296225,0.03350453583777221,0.03903480140266728,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m5_dsbs_per_chrom_std,Genomic Location,11.172099996844784,2.696175299312293,11.29700325108487,8.93893098178875,13.223319785424838,50
